evidence_id,name_token,normalized_token,proposed_association,association_type,evidence_type,evidence_strength,evidence_statement,source_id,source_location,source_quote_or_excerpt,interpretation_note,alternative_associations,position_scope,reviewer,review_status,date_added,notes
E9B-KAMAU-01,KAMAU,KAMAU,,unresolved,community_documentation,moderate,Research lead: KAMAU indicated as Kikuyu name via Benson dictionary,SRC_STAGE9B_BENSON_1964,p. 13,KAMAU appears in Kikuyu naming context,Research lead only,,any_position,,unresolved,2026-09-03,Requires direct source verification
E9B-KAMAU-02,KAMAU,KAMAU,,unresolved,community_documentation,moderate,Research lead: KAMAU appears in multiple community contexts,SRC_STAGE9B_GACHIHI_1986,p. 95,KAMAU in generation-set context,Research lead only,,any_position,,unresolved,2026-09-03,Requires direct source verification
E9B-KARIUKI-01,KARIUKI,KARIUKI,Kikuyu,naming_system,naming_system,strong,Benson dictionary cites Kariuki in Kikuyu context,SRC_STAGE6_BENSON_1964,not_verified,,Requires page verification,Ekegusii,any_position,,needs_review,2026-09-02,Preserved from Stage 6
E9B-KARIUKI-02,KARIUKI,KARIUKI,Ekegusii,borrowed,community_documentation,moderate,Ekegusii study documents borrowing of Kariuki,SRC_STAGE6_UON_EKEGUSII_2017,not_verified,,Abstract only verified,Kikuyu,any_position,,needs_review,2026-09-02,Preserved from Stage 6
E9B-NJOROGE-01,NJOROGE,NJOROGE,Kikuyu,naming_system,naming_system,strong,Benson dictionary cites Njoroge in Kikuyu context,SRC_STAGE6_BENSON_1964,not_verified,,Requires page verification,Ekegusii,any_position,,needs_review,2026-09-02,Preserved from Stage 6
E9B-NJOROGE-02,NJOROGE,NJOROGE,Ekegusii,borrowed,community_documentation,moderate,Ekegusii study documents borrowing of Njoroge,SRC_STAGE6_UON_EKEGUSII_2017,not_verified,,Abstract only verified,Kikuyu,any_position,,needs_review,2026-09-02,Preserved from Stage 6
E9B-OMONDI-01,OMONDI,OMONDI,Luo,naming_system,naming_system,moderate,Acta Academica: Omondi = born at dawn,SRC_STAGE6B7_ACTA_NAMES_2003,p. 115,"the time of the day, for instance Omondi (born at dawn)",Directly inspected - authors personal knowledge,,any_position,,source_verified,2026-09-03,Printed page 115 (PDF page 12) - partially verified
E9B-WAMBUA-001,WAMBUA,WAMBUA,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - WAMBUA requires documentary evidence search
E9B-NJUGUNA-002,NJUGUNA,NJUGUNA,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - NJUGUNA requires documentary evidence search
E9B-MACHARIA-003,MACHARIA,MACHARIA,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - MACHARIA requires documentary evidence search
